Product_ID,In_Stock_Quantity,Avg_Lead_Time_in_Days,Max_Lead_Time_in_Days,Price_Per_Unit,annual_sales_quantity,annual_Revenue,Revenue_Percent,cumulative_sum,ABC_Analysis,value_in_Inventory,ABC_rank,average_weekly_demand,SD_Weekly_Demand,Coff_Var,Coff_rank,XYZ_Analysis,peak_weekly_demand,Safety_Stock,Reorder_Point,Reorder_Time,Inventory_Status
1379ZX,271.00000,45,72.00000,490.18125,1211.00000,593609.4937500000,0.14254384228637,92.16054481995303,"C[Low Value]",132839.1187500000,99,23.509433962,29.323583555046444,1.2473113390328443,122,"Y [Variable Demand]",183.00000,1731.15363868500000,17806.15171095203311522500000,"Yes [Reorder]","Below Reorder point"
1382ZX,172.00000,90,123.00000,613.52125,879.00000,539285.1787500000,0.12949890841788,92.96514582842984,"C[Low Value]",105525.6550000000,105,18.358490566,18.992644395076624,1.0345428087781399,98,"Y [Variable Demand]",94.00000,1415.67654982542860,24875.45937489724116436053060,"Yes [Reorder]","Below Reorder point"
1385ZX,89.00000,45,66.00000,1781.54750,929.00000,1655057.6275000000,0.39743008815248,82.95597670614912,"B[Medium Value]",158557.7275000000,58,17.679245283,28.149046423009462,1.592208602370431,157,"Z [Uncertain Demand]",191.00000,1687.20485164300000,15907.93145738416865620400000,"Yes [Reorder]","Below Reorder point"
1390YX,11.00000,30,47.00000,30.00000,850.66947,25520.0841000000,0.00612815475727,99.87020174311554,"C[Low Value]",330.0000000000,256,16.050367358,12.975237698361948,0.8084075217066411,53,"X [Uniform Demand]",50.37049,269.41457273703696,1808.92641687170113921798944,"Yes [Reorder]","Below Reorder point"
1403ZX,10.00000,30,42.00000,2550.00000,268.51492,684713.0460000000,0.16442059884161,90.63415307477246,"C[Low Value]",25500.0000000000,89,5.122923018,4.169449868503122,0.8138810311717087,56,"X [Uniform Demand]",27.48598,142.96049563714290,857.76297382285740000000000,"Yes [Reorder]","Below Reorder point"
1420ZX,9.00000,30,46.00000,30.00000,909.39991,27281.9973000000,0.00655124414507,99.73728605995431,"C[Low Value]",270.0000000000,235,17.158488867,14.098711676482887,0.821675602424301,59,"Y [Variable Demand]",53.41922,277.50420768996322,1823.59907898654221384715862,"Yes [Reorder]","Below Reorder point"
1434YX,27.00000,30,48.00000,30.00000,897.74562,26932.3686000000,0.00646728757295,99.75679271427846,"C[Low Value]",810.0000000000,238,16.938596603,13.796511976690827,0.8145014784900965,57,"X [Uniform Demand]",50.90083,276.44027740844271,1895.59047361840140037022247,"Yes [Reorder]","Below Reorder point"
1436YX,81.00000,30,41.00000,125.00000,62.00000,7750.0000000000,0.00186101265116,99.99491753002557,"C[Low Value]",10125.0000000000,283,1.207547169,5.085526968728197,4.211452023807608,257,"Z [Uncertain Demand]",32.00000,182.25336927114290,1067.48401999065793296126530,"Yes [Reorder]","Below Reorder point"
1441XX,38.00000,45,70.00000,190.00000,138.00000,26220.0000000000,0.00629622602755,99.82048164778983,"C[Low Value]",7220.0000000000,248,2.603773584,8.198802541746417,3.1488154700268356,229,"Z [Uncertain Demand]",56.00000,543.26145553142860,5432.61455531428600000000000,"Yes [Reorder]","Below Reorder point"
1445YX,46.00000,30,44.00000,1291.86500,377.00000,487033.1050000000,0.11695158321810,93.95125485578853,"C[Low Value]",59425.7900000000,113,7.283018867,12.395034548256579,1.701908888966301,164,"Z [Uncertain Demand]",88.00000,521.92991907857140,3280.70234812107028637244900,"Yes [Reorder]","Below Reorder point"
1464XX,21.00000,30,42.00000,842.57000,234.00000,197161.3800000000,0.04734449322591,98.37788942003818,"C[Low Value]",17693.9700000000,172,5.226415094,6.123390075470935,1.1716233719171436,115,"Y [Variable Demand]",43.00000,235.60107816857140,1413.60646901142840000000000,"Yes [Reorder]","Below Reorder point"
1468XX,459.00000,60,94.00000,30.00000,845.73961,25372.1883000000,0.00609264044052,99.88849371510662,"C[Low Value]",13770.0000000000,259,15.957351132,12.191528783614954,0.7640070512183397,27,"X [Uniform Demand]",42.85959,438.76577027265162,5891.99748626774131412991336,"Yes [Reorder]","Below Reorder point"
1479ZX,303.00000,60,81.00000,385.56250,1198.00000,461903.8750000000,0.11091728451565,94.17470287716357,"C[Low Value]",116825.4375000000,115,23.075471698,19.782638716531768,0.857301596059957,72,"Y [Variable Demand]",77.00000,693.21024255557140,8021.43280641737895319046940,"Yes [Reorder]","Below Reorder point"
1484YX,439.00000,15,23.00000,0.20000,464.00000,92.8000000000,0.00002228412568,100.00000000000006,"C[Low Value]",87.8000000000,290,8.754716981,60.77670409596887,6.942166631756348,287,"Z [Uncertain Demand]",447.00000,1449.95417757857140,4764.13515386533875887244900,"Yes [Reorder]","Below Reorder point"
1486ZX,66.00000,60,81.00000,190.72000,519.00000,98983.6800000000,0.02376901686951,99.26120696550521,"C[Low Value]",12587.5200000000,198,9.792452830,8.677358285435304,0.8861271466992916,79,"Y [Variable Demand]",46.00000,448.35040429457140,5188.05467807360459815946940,"Yes [Reorder]","Below Reorder point"
1488YX,45.00000,30,47.00000,70.00000,1642.00000,114940.0000000000,0.02760061859674,99.10960895674196,"C[Low Value]",3150.0000000000,192,30.981132075,223.4081205400706,7.21110255103777,290,"Z [Uncertain Demand]",1642.00000,10892.08086206657140,73132.54292790638486798097960,"Yes [Reorder]","Below Reorder point"
1488ZX,100.00000,15,22.00000,30.00000,907.52397,27225.7191000000,0.00653773002350,99.74382378997781,"C[Low Value]",3000.0000000000,236,17.123093773,14.244083338551777,0.8318638867125812,63,"Y [Variable Demand]",47.44321,112.41488758862012,353.30393232502190206689704,"Yes [Reorder]","Below Reorder point"
1491ZX,0.00000,30,43.00000,30.00000,0.00000,0.0000000000,0.00000000000000,100.00000000000006,"C[Low Value]",0.0000000000,290,0.000000000,0,10000,291,"Z [Uncertain Demand]",0.00000,0.00000000000000,0.00000000000000000000000,"No [There is Time]","Out Of Stock"
1497ZX,2096.00000,40,53.00000,16.71828,25236.54000,421911.5419512000,0.10131389899909,94.69453811242794,"C[Low Value]",35041.5148800000,120,489.302641509,489.84735202648795,1.0011132384566903,90,"Y [Variable Demand]",2385.00000,15261.84204749785710,115553.94692451441430821520410,"Yes [Reorder]","Below Reorder point"
1499XX,4218.00000,20,30.00000,14.22359,22235.10600,316263.0313505400,0.07594445192756,96.26783351438446,"C[Low Value]",59995.1026200000,138,419.530301886,516.8972562148833,1.2320856297892424,121,"Y [Variable Demand]",3083.10600,12014.65342098063860,51491.37179562084155644240100,"Yes [Reorder]","Below Reorder point"
1499ZX,25.00000,60,86.00000,6600.00000,275.00000,1815000.0000000000,0.43583715636920,81.32511362914292,"B[Medium Value]",165000.0000000000,54,5.226415094,4.587273245371011,0.8777093213735103,78,"Y [Variable Demand]",20.00000,200.91644203714290,2468.40200202710102711632650,"Yes [Reorder]","Below Reorder point"
1511ZX,50.00000,30,41.00000,6.78700,2032.00000,13791.1840000000,0.00331168618045,99.98216452286924,"C[Low Value]",339.3500000000,277,38.679245283,57.808980690607285,1.4945736471237467,144,"Y [Variable Demand]",338.00000,1813.94609159600000,10624.54139337457912977200000,"Yes [Reorder]","Below Reorder point"
1514YX,13.00000,45,68.00000,332.80000,56.00000,18636.8000000000,0.00447526717125,99.96734016179948,"C[Low Value]",4326.4000000000,273,1.056603773,3.6570691138371982,3.4611546989404878,236,"Z [Uncertain Demand]",25.00000,236.06469002357140,2293.19984587581797427897960,"Yes [Reorder]","Below Reorder point"
1571XX,86.00000,60,93.00000,320.00000,648.09466,207390.2912000000,0.04980076847118,98.23549481265647,"C[Low Value]",27520.0000000000,169,12.228201132,9.855885623731346,0.805996361798422,51,"X [Uniform Demand]",39.73572,423.10427026876020,5621.24244755416817837945700,"Yes [Reorder]","Below Reorder point"
1582ZX,23.00000,45,63.00000,550.00000,252.09359,138651.4745000000,0.03329447072864,98.93473344549697,"C[Low Value]",12650.0000000000,186,4.756482830,3.3310225408879033,0.7003121129500436,10,"X [Uniform Demand]",11.05877,68.95154037857140,620.56386340714260000000000,"Yes [Reorder]","Below Reorder point"
1584YX,20.00000,45,65.00000,425.00000,209.83797,89181.1372500000,0.02141512576353,99.28262209126874,"C[Low Value]",8500.0000000000,199,4.562980566,4.865345796062775,1.0662648516006796,102,"Y [Variable Demand]",32.00000,267.80941062428570,2486.80166989136049241122450,"Yes [Reorder]","Below Reorder point"
1586ZX,972.00000,30,40.00000,286.57100,2477.00000,709836.3670000000,0.17045347861197,90.30320436935027,"C[Low Value]",278547.0120000000,87,46.735849056,234.91814318579992,5.026508513931467,267,"Z [Uncertain Demand]",1719.00000,9622.56064641171430,54986.06083388906438673951020,"Yes [Reorder]","Below Reorder point"
1601XX,14.00000,30,42.00000,918.40300,350.00000,321441.0500000000,0.07718785298751,96.11499985110181,"C[Low Value]",12857.6420000000,136,6.603773584,8.921755522828093,1.3510086936421066,133,"Y [Variable Demand]",62.00000,343.69811321142860,2062.18867926857160000000000,"Yes [Reorder]","Below Reorder point"
1624XX,17.00000,15,21.00000,722.10100,320.00000,231072.3200000000,0.05548754978757,97.98078385519738,"C[Low Value]",12275.7170000000,164,6.075471698,4.902248450643899,0.8068918257421367,52,"X [Uniform Demand]",19.00000,43.98113207571430,131.94339622714290000000000,"Yes [Reorder]","Below Reorder point"
1624ZX,18.00000,30,48.00000,1531.37700,287.00000,439505.1990000000,0.10553867556013,94.38722437516972,"C[Low Value]",27564.7860000000,117,5.471698113,5.645515079480166,1.03176654904758,97,"Y [Variable Demand]",27.00000,161.69272236900000,1108.75009622147246823300000,"Yes [Reorder]","Below Reorder point"
1630YX,262.00000,60,91.00000,442.80300,224.00000,99187.8720000000,0.02381804963019,99.23743794863570,"C[Low Value]",116014.3860000000,197,4.283018867,4.4905660377358485,1.0484581500060548,101,"Y [Variable Demand]",19.00000,210.28840971142860,2733.74932624857180000000000,"Yes [Reorder]","Below Reorder point"
1650XX,221.00000,60,93.00000,284.87000,293.00000,83466.9100000000,0.02004296457594,99.32353163576255,"C[Low Value]",62956.2700000000,201,5.528301886,21.27324812518429,3.848061948110532,248,"Z [Uncertain Demand]",142.00000,1839.18598373285710,24434.89949685139719733367350,"Yes [Reorder]","Below Reorder point"
1668ZX,400.00000,30,46.00000,0.85000,500.00000,425.0000000000,0.00010205553248,99.99997771587438,"C[Low Value]",340.0000000000,289,9.433962264,57.47567473451056,6.092421521955599,278,"Z [Uncertain Demand]",420.00000,2719.56873297428570,17871.45167266549085729673470,"Yes [Reorder]","Below Reorder point"
1672XX,415.00000,15,24.00000,30.00000,879.24648,26377.3944000000,0.00633402124944,99.80787045884324,"C[Low Value]",12450.0000000000,246,16.589556226,14.100194418714652,0.8499440386847785,70,"Y [Variable Demand]",68.14897,198.10456233391486,679.21564217450548438062008,"Yes [Reorder]","Below Reorder point"
1678ZX,230.00000,60,87.00000,30.00000,887.39065,26621.7195000000,0.00639269119809,99.78246238341663,"C[Low Value]",6900.0000000000,242,16.743219811,12.927375393456382,0.772096140371001,32,"X [Uniform Demand]",55.31434,543.96491301696322,6760.70677575713435541887816,"Yes [Reorder]","Below Reorder point"
1681ZX,218.00000,30,47.00000,93.00000,4441.13460,413025.5178000000,0.09918009211343,94.99365292659301,"C[Low Value]",20274.0000000000,123,83.794992452,68.84750694621208,0.8216183918824238,58,"X [Uniform Demand]",388.65856,2250.44322080895474,15110.11876764571233405458436,"Yes [Reorder]","Below Reorder point"
1688ZX,287.00000,60,79.00000,30.00000,968.05522,29041.6566000000,0.00697379230237,99.69702136286366,"C[Low Value]",8610.0000000000,229,18.265192830,14.202177416653656,0.7775542009787616,35,"X [Uniform Demand]",48.12095,386.52049713705645,4362.15989598497958061638825,"Yes [Reorder]","Below Reorder point"
1695ZX,30.00000,15,22.00000,1649.30000,177.00000,291926.1000000000,0.07010040842642,96.84927126081433,"C[Low Value]",49479.0000000000,146,3.339622641,2.6842896971741492,0.803770361423343,49,"X [Uniform Demand]",11.00000,27.41509433128570,86.16172501768497628746940,"Yes [Reorder]","Below Reorder point"
1698ZX,15.00000,15,24.00000,30.00000,881.81685,26454.5055000000,0.00635253798913,99.79519583419475,"C[Low Value]",450.0000000000,244,16.638053773,13.681829453428746,0.8223215070762319,60,"Y [Variable Demand]",58.77532,165.86241045284266,568.67112145782488545551848,"Yes [Reorder]","Below Reorder point"
1708XX,15.00000,15,23.00000,120.00000,30.00000,3600.0000000000,0.00086447039280,99.99973810149065,"C[Low Value]",1800.0000000000,287,0.566037735,1.9378010681460778,3.4234485588599104,235,"Z [Uncertain Demand]",12.00000,38.21563341642860,125.56565262668280470255100,"Yes [Reorder]","Below Reorder point"
1712XX,17.00000,15,21.00000,30.00000,895.41884,26862.5652000000,0.00645052563612,99.76324323991458,"C[Low Value]",510.0000000000,239,16.894695094,14.00975459830388,0.8292398602256705,61,"Y [Variable Demand]",56.46910,133.20438194142860,399.61314582428580000000000,"Yes [Reorder]","Below Reorder point"
1716XX,22.00000,15,21.00000,140.00000,32.00000,4480.0000000000,0.00107578537770,99.99785019780700,"C[Low Value]",3080.0000000000,285,0.603773584,1.7627125606228924,2.9194926829109042,223,"Z [Uncertain Demand]",11.00000,31.70619946285710,95.11859838857130000000000,"Yes [Reorder]","Below Reorder point"
1741YX,21.00000,30,41.00000,1450.00000,404.63212,586716.5740000000,0.14088864088531,92.30143346083834,"C[Low Value]",30450.0000000000,100,7.634568301,6.638683144336183,0.8695557996994575,74,"Y [Variable Demand]",27.65077,129.23493156319279,756.94745628023849406240103,"Yes [Reorder]","Below Reorder point"
1745YX,21.00000,15,20.00000,175.00000,496.55299,86896.7732500000,0.02086657991787,99.30348867118661,"C[Low Value]",3675.0000000000,200,9.368924339,7.2278124034991045,0.7714666211372747,31,"X [Uniform Demand]",27.78818,59.31853355531596,169.48152443528580949209772,"Yes [Reorder]","Below Reorder point"
1764XX,16.00000,15,23.00000,325.00000,760.39286,247127.6795000000,0.05934293393576,97.75155605417385,"C[Low Value]",5200.0000000000,160,14.347035094,10.257648180617014,0.7149664103705171,12,"X [Uniform Demand]",40.59954,102.65484191242890,337.29448049608435577683650,"Yes [Reorder]","Below Reorder point"
1766ZX,11.00000,15,24.00000,30.00000,927.83976,27835.1928000000,0.00668408334818,99.72413554488288,"C[Low Value]",330.0000000000,233,17.506410566,13.923055770160845,0.7953118497747018,46,"X [Uniform Demand]",65.25187,186.20696017842746,638.42386336249017132661288,"Yes [Reorder]","Below Reorder point"
1767ZX,14.00000,15,21.00000,30.00000,805.45016,24163.5048000000,0.00580239846829,99.92444149460633,"C[Low Value]",420.0000000000,265,15.197172830,11.022280032275512,0.7252849036839909,13,"X [Uniform Demand]",41.20105,91.03777965000000,273.11333895000000000000000,"Yes [Reorder]","Below Reorder point"
1798XX,13.00000,15,22.00000,375.00000,580.71857,217769.4637500000,0.05229312607429,98.03307698127167,"C[Low Value]",4875.0000000000,165,10.956954150,9.162782164732981,0.836252670157699,65,"Y [Variable Demand]",39.76419,101.49398107305928,318.98108328547718193737776,"Yes [Reorder]","Below Reorder point"
1801XX,15.00000,30,46.00000,1250.00000,1334.79448,1668493.1000000000,0.40065635709401,82.55854661799664,"B[Medium Value]",18750.0000000000,57,25.184801509,19.186331482963006,0.7618218263942486,26,"X [Uniform Demand]",66.71196,330.45801636140916,2171.58125023334961584511036,"Yes [Reorder]","Below Reorder point"
1811ZX,15.00000,30,42.00000,30.00000,939.65941,28189.7823000000,0.00676923116050,99.71075224606453,"C[Low Value]",450.0000000000,231,17.729422830,13.739475450490243,0.7749533406830166,34,"X [Uniform Demand]",50.84443,229.08333930000000,1374.50003580000000000000000,"Yes [Reorder]","Below Reorder point"
1819XX,15.00000,30,40.00000,30.00000,799.14963,23974.4889000000,0.00575700995459,99.93598075669078,"C[Low Value]",450.0000000000,267,15.078294905,11.81070700579673,0.7832919491367867,41,"X [Uniform Demand]",42.45885,178.00073610929750,1017.14706343084264682591500,"Yes [Reorder]","Below Reorder point"
1826XX,15.00000,60,82.00000,30.00000,966.36999,28991.0997000000,0.00696165204037,99.70398301490403,"C[Low Value]",450.0000000000,230,18.233396037,13.457697118655522,0.738079570659606,19,"X [Uniform Demand]",44.04877,359.71362538455748,4213.78818297346944417584072,"Yes [Reorder]","Below Reorder point"
